fast_decay,lambda,variant,seed,pre,final_ppl,gain40,drop,w_fast_norm,abs_mean,abs_std,abs_max,cv,top1pct_mass,top5pct_mass,top10pct_mass,normalized_entropy,gini,hhi,ts_cos_stage1,ts_cos_stage2,ts_horizon,horizon_steps,horizon_censored,cos_lag1
0.02,1.05,nocons,3,70.19738529067261,47.74246731595741,0.31988254094841434,22.4549179747152,32.607059478759766,0.002107175998389721,0.0021479364950209856,0.01153564453125,1.019343614578247,0.04842787981033325,0.20812050998210907,0.3519842028617859,0.9767783284187317,0.5048372745513916,1.6401919822328637e-08,0.7247269153594971,0.8835286498069763,1.5493708020935844,60.0,True,0.95380859375
0.02,1.05,shufwrite,0,65.69618725580793,47.066998956471934,0.2835657452509021,18.629188299335993,33.0914192199707,0.002140578581020236,0.002197006717324257,0.0115966796875,1.026361107826233,0.048260126262903214,0.20833244919776917,0.35442686080932617,0.9765006303787231,0.5078861713409424,1.6517397227744368e-08,0.7321892976760864,0.8865127563476562,1.5476688894932686,60.0,True,0.95478515625
0.02,1.05,shufwrite,1,45.74805166485499,39.796306785680265,0.1300983246844375,5.951744879174726,32.80028533935547,0.0021167329978197813,0.0021699899807572365,0.0115966796875,1.0251599550247192,0.04865771159529686,0.20915354788303375,0.3538011908531189,0.9765750765800476,0.5068928003311157,1.6497571309059822e-08,0.7287571430206299,0.885692298412323,1.548603304434359,60.0,True,0.9525390625
0.02,1.05,shufwrite,2,58.75106277955251,53.72919785217061,0.08547700568796682,5.021864927381905,32.65350341796875,0.0021110051311552525,0.0021506422199308872,0.01165771484375,1.0187764167785645,0.04860006645321846,0.20810672640800476,0.3516467809677124,0.9768098592758179,0.5045144557952881,1.6392620594274376e-08,0.7278945446014404,0.8795653581619263,1.547177168556351,60.0,True,0.95322265625
0.02,1.05,shufwrite,3,71.51483932141404,47.9645205858704,0.32930674191547615,23.55031873554364,32.59273910522461,0.0021028006449341774,0.002150211250409484,0.0115966796875,1.022546410560608,0.048592060804367065,0.20875424146652222,0.35296162962913513,0.976669430732727,0.5059267282485962,1.6454526630127475e-08,0.7265728116035461,0.8851751089096069,1.5492019549978897,60.0,True,0.9537109375
0.02,1.1,direct,0,74.78399748687133,48.94804397248232,0.34547435791894693,25.83595351438901,36.27235412597656,0.00236561824567616,0.002421851037070155,0.0123291015625,1.023770809173584,0.047278210520744324,0.20588773488998413,0.35332274436950684,0.9764940738677979,0.5085523128509521,1.647467762211363e-08,0.7109416723251343,0.8832169771194458,1.5540332999022193,60.0,True,0.95439453125
0.02,1.1,direct,1,53.671353255905316,40.64145583094005,0.242771918994452,13.029897424965263,36.08912658691406,0.0023558451794087887,0.0024084679316729307,0.01226806640625,1.0223370790481567,0.04755685105919838,0.20680269598960876,0.3531278669834137,0.9766017198562622,0.5071450471878052,1.645108049785904e-08,0.7076781988143921,0.8823762536048889,1.5549346138821512,60.0,True,0.953125
0.02,1.1,direct,2,68.6135961882992,53.508088428011966,0.22015327281246921,15.105507760287232,35.816341400146484,0.002345199231058359,0.0023858731146901846,0.0123291015625,1.017343521118164,0.047341033816337585,0.20559747517108917,0.35138842463493347,0.9767626523971558,0.5056525468826294,1.636915136771222e-08,0.7082517743110657,0.8770827054977417,1.5532477320517992,60.0,True,0.95341796875
0.02,1.1,direct,3,80.44307230785394,48.147389581427134,0.40147251714643506,32.295682726426804,35.65175247192383,0.0023334345314651728,0.002377553144469857,0.01226806640625,1.0189071893692017,0.047636233270168304,0.20617271959781647,0.35181525349617004,0.976721465587616,0.5059772729873657,1.6394761104265854e-08,0.7041015625,0.8814546465873718,1.5559277189515262,60.0,True,0.95419921875
0.02,1.1,nocons,0,67.62961652867209,47.8334389757762,0.29271462073872845,19.79617755289589,35.476707458496094,0.0023121037520468235,0.0023768681567162275,0.012451171875,1.0280110836029053,0.04816451296210289,0.20859304070472717,0.35505035519599915,0.9764441251754761,0.5084567070007324,1.6544657199801804e-08,0.739382266998291,0.8937982320785522,1.5472746169720815,60.0,True,0.9576171875
0.02,1.1,nocons,1,46.64724255185295,39.78716123223069,0.14706295472870903,6.86008131962226,35.14813995361328,0.0022900179028511047,0.002354477997869253,0.0123291015625,1.0281482934951782,0.04856245219707489,0.20957033336162567,0.3549419045448303,0.9764721393585205,0.507943868637085,1.6546930936556237e-08,0.7361764311790466,0.8933988809585571,1.548240314089342,60.0,True,0.95615234375
0.02,1.1,nocons,2,59.79996210699886,53.41877886420036,0.10670881749692045,6.3811832427985,34.906341552734375,0.0022821701131761074,0.0023320794571191072,0.0123291015625,1.0218693017959595,0.04846421256661415,0.20851750671863556,0.3528197407722473,0.9767008423805237,0.5056537389755249,1.6443390649101275e-08,0.7360497117042542,0.8882339596748352,1.5468465732470762,60.0,True,0.956640625
0.02,1.1,nocons,3,71.43347818637925,47.792272630930064,0.3309541430107351,23.641205555449183,34.93702697753906,0.002283994108438492,0.0023333232384175062,0.0123291015625,1.0215977430343628,0.048402607440948486,0.208450585603714,0.3528405427932739,0.9767066240310669,0.5055646896362305,1.64389284407207e-08,0.7324740290641785,0.8913561105728149,1.5489220139565074,60.0,True,0.956640625
0.02,1.1,shufwrite,0,67.3817437441371,47.104721604507205,0.3009275363461368,20.277022139629892,35.54059982299805,0.002315904013812542,0.0023809659760445356,0.0123291015625,1.0280935764312744,0.04808742180466652,0.20843791961669922,0.35507553815841675,0.9764320254325867,0.5086268186569214,1.6546026770924982e-08,0.7394130825996399,0.893682062625885,1.5472320857964896,60.0,True,0.95751953125
